乗車駅名,降車駅名,人員
桜川,水口石橋,0
朝日大塚,水口石橋,0
朝日野,水口石橋,0
日野,水口石橋,4
水口松尾,水口石橋,0
水口,水口石橋,0
水口石橋,水口石橋,0
水口城南,水口石橋,0
貴生川,水口石橋,36
米原,水口城南,0
フジテック前,水口城南,0
鳥居本,水口城南,0
彦根,水口城南,1
ひこね芹川,水口城南,1
彦根口,水口城南,0
高宮,水口城南,0
スクリーン,水口城南,0
多賀大社前,水口城南,0
尼子,水口城南,1
豊郷,水口城南,1
愛知川,水口城南,0
五箇荘,水口城南,1
河辺の森,水口城南,0
八日市,水口城南,10
新八日市,水口城南,0
太郎坊宮前,水口城南,0
市辺,水口城南,0
平田,水口城南,0
武佐,水口城南,0
近江八幡,水口城南,0
長谷野,水口城南,7
大学前,水口城南,2
京セラ前,水口城南,1
桜川,水口城南,11
朝日大塚,水口城南,24
朝日野,水口城南,1
日野,水口城南,7
水口松尾,水口城南,2
水口,水口城南,3
水口石橋,水口城南,0
水口城南,水口城南,0
貴生川,水口城南,185
米原,貴生川,0
フジテック前,貴生川,0
鳥居本,貴生川,0
彦根,貴生川,0
ひこね芹川,貴生川,0
彦根口,貴生川,0
高宮,貴生川,1
スクリーン,貴生川,0
多賀大社前,貴生川,2
尼子,貴生川,1
豊郷,貴生川,0
愛知川,貴生川,0
五箇荘,貴生川,1
河辺の森,貴生川,0
八日市,貴生川,17
新八日市,貴生川,0
太郎坊宮前,貴生川,1
市辺,貴生川,0
平田,貴生川,0
武佐,貴生川,0
近江八幡,貴生川,0
長谷野,貴生川,0
大学前,貴生川,1
京セラ前,貴生川,0
桜川,貴生川,2
朝日大塚,貴生川,2
朝日野,貴生川,0
日野,貴生川,35
水口松尾,貴生川,5
水口,貴生川,110
水口石橋,貴生川,39
水口城南,貴生川,178
貴生川,貴生川,0
